State/union territory,2011–12  in ₹ crore,2012–13  in ₹ crore,2013–14  in ₹ crore,2014–15  in ₹ crore,2015–16  in ₹ crore,2016–17  in ₹ crore,2017–18  in ₹ crore,2018–19  in ₹ crore,2019–20  in ₹ crore,2020–21  in ₹ crore
India,8736039,9946636,11236635,12433749,13675331,15251028,17095005,19010164,–,–
Andhra Pradesh,379402,411404,464272,524976,604229,697508,809547,933402,1080657,–
Arunachal Pradesh,11063,12547,14581,17959,18509,19627,22045,–,–,–
Assam,143175,156864,177745,195723,227959,254478,288494,332939,374096,408627
Bihar,247144,282368,317101,342951,371602,422316,484740,557490,572827,–
Chhattisgarh,158074,177511,206833,221118,227383,254722,284194,311660,363900,–
Goa,42367,38120,35921,47814,55054,63460,70493,77172,–,–
Gujarat,615606,724495,807623,921773,1029010,1153327,1314680,1499013,1701495,1778000
Haryana,297539,347032,399268,437145,495249,556325,626054,707126,784910,–
Himachal Pradesh,72720,82820,94764,103772,114239,125634,140613,153181,168972,–
Jammu and Kashmir,78256,87138,95619,98370,117168,125379,138488,–,–,–
Jharkhand,150918,174724,188567,218525,206613,236250,276243,307581,329726,383233
Karnataka,606048,695413,816666,913923,1045168,1209136,1350257,1535224,1588303,1803609
Kerala,364048,412313,465041,512564,561994,634886,701577,781653,875514,978064
Madhya Pradesh,315562,380925,439483,479939,541189,648849,728242,809327,906672,917555
Maharashtra,1280369,1459629,1649647,1779138,1966147,2188532,2411600,2656551,2979556,3079086
Manipur,12915,13743,16182,18129,19531,21294,23968,–,–,–
Meghalaya,19918,21872,22938,23235,25117,27439,30790,–,–,–
Mizoram,7259,8362,10293,13509,15139,17192,19457,–,–,–
Nagaland,12177,14121,16612,18401,19524,21722,24281,–,–,–
Odisha,230987,261700,296475,314250,328550,393808,436374,485376,540812,–
Punjab,266628,297734,332147,355102,390087,426988,479141,521861,577829,–
Rajasthan,434837,493551,561031,615642,681485,758809,835558,929124,–,–
Sikkim,11165,12338,13862,15407,18034,20687,23495,26786,–,–
Tamil Nadu,751486,854825,968530,1072678,1176500,1302639,1461841,1664159,1854239,2124000
Telangana,359434,401594,451580,505849,577902,659033,753811,865688,969604,–
Tripura,19208,21663,25593,29533,35938,39612,46133,–,–,–
Uttar Pradesh,724050,822393,940356,1011790,1137210,1248374,1376324,1542432,1791000,1948000
Uttarakhand,115328,131613,149074,161439,177163,195125,222836,245895,263233,–
West Bengal,520485,591464,676848,718082,797300,872527,999585,1177586,1314529,"14,44,000[9]"
Andaman and Nicobar Islands,3978,4421,5023,5477,6032,6836,7871,–,–,–
Chandigarh,18768,21609,24822,26549,29280,32741,38806,–,–,–
Delhi,343798,391388,443960,494803,550804,615605,690098,779652,830872,798309
Puducherry,16818,18875,21870,22574,26617,29573,32962,36656,–,–
