State/union territory,2010–11,2011–12,2012–13,2013–14,2014–15,2015–16,2016–17,2017–18,2018–19
India,18.66,15.77,13.80,13.0,11.0,10.4,10.8,10.0,11.2
Andhra Pradesh,17.03,13.25,13.20,12.90,13.4,15.90,14.7,16.06,15.23
Arunachal Pradesh,20.59,17.82,13.86,16.20,23.2,3.3,9.2,–,–
Assam,17.41,11.65,9.60,13.30,10.1,16.50,11.6,–,–
Bihar,25.39,21.06,14.30,12.30,8.2,7.70,15.3,14.50,–
Chhattisgarh,20.18,11.26,12.30,16.50,6.9,5.90,12.9,11.20,16.76
Goa,15.38,7.2,−10.00,−5.80,33.1,15.10,13.8,9.47,–
Gujarat,20.93,14.01,17.70,11.50,14.1,11.60,13.0,14.02,13.50
Haryana,16.56,15.86,16.60,15.50,9.2,10.90,12.8,12.94,11.00
Himachal Pradesh,19.22,13.06,13.90,14.40,9.5,10.10,10.3,8.10,10.30
Jammu and Kashmir,20.02,13.24,11.40,9.70,2.9,19.10,8.2,–,–
Jharkhand,26.5,13.05,15.80,7.90,15.9,−5.50,14.0,8.40,7.20
Karnataka,21.7,10.8,14.80,17.40,11.8,11.00,11.8,12.10,–
Kerala,13.7,16.73,13.30,12.80,10.2,9.60,10.7,–,–
Madhya Pradesh,15.53,18.33,20.70,15.40,9.2,13.10,19.3,11.13,18.91
Maharashtra,20.96,15.89,14.00,13.00,7.9,11.60,13.6,10.6,12.15
Manipur,10.7,14.96,6.40,17.70,12.0,7.70,7.9,–,–
Meghalaya,14.75,12.54,9.80,4.90,1.3,8.10,8.4,–,–
Mizoram,21.44,12.68,15.20,23.10,31.2,12.10,16.3,–,–
Nagaland,11.7,12.28,16.00,17.60,10.8,6.10,10.1,–,–
Odisha,21.22,8.63,13.30,13.30,6.0,5.30,14.0,10.30,11.42
Punjab,14.53,13.36,11.70,11.60,6.9,9.90,9.8,10.07,10.72
Rajasthan,27.28,19.23,13.50,11.60,11.7,11.10,11.0,10.70,–
Sikkim,20.85,16.24,10.5,12.30,11.1,17.10,11.0,11.10,–
Tamil Nadu,21.92,13.75,13.80,13.30,10.8,9.70,8.0,12.30,11.42
Telangana,29.78,11.99,11.70,12.40,12.0,14.20,14.0,14.10,12.00
Tripura,16.0,17.43,12.80,18.10,7.1,25.30,15.14,–,–
Uttar Pradesh,14.67,13.14,13.40,14.30,7.6,12.40,9.9,10.00,–
Uttarakhand,18.72,16.35,14.10,13.30,8.3,8.90,11.3,11.20,–
West Bengal,15.56,12.91,13.64,14.44,6.09,11.03,9.44,14.56,17.81
Chandigarh,12.98,15.96,15.10,14.90,7.0,10.40,8.6,–,–
Delhi,15.2,17.49,13.80,13.40,11.5,10.70,12.5,11.20,–
Puducherry,6.4,11.75,12.20,15.90,3.2,18.00,9.9,10.00,–
Andaman and Nicobar Islands,5.46,9.23,11.10,13.60,9.1,10.10,10.2,–,–
